County              POP2010
Autauga             54571
Baldwin             227985
Barbour             44046
Bibb                178462
Blount              180332
Bullock             10914
Butler              717565
Calhoun             355309
Chambers            69311
Cherokee            454628
Chilton             43643
Choctaw             37611
Clarke              182599
Clay                672264
Cleburne            40942
Coffee              145100
Colbert             54428
Conecuh             13228
Coosa               11539
Covington           63294
Crenshaw            13906
Cullman             80406
Dale                50251
Dallas              2502987
DeKalb              942000
Elmore              106341
Escambia            335938
Etowah              104430
Fayette             761550
Franklin            2139570
Geneva              26790
Greene              771166
Hale                52033
Henry               493701
Houston             292632
Jackson             1714413
Jefferson           3584625
Lamar               138332
Lauderdale          200785
Lawrence            401668
Lee                 1079698
Limestone           106166
Lowndes             180311
Macon               218696
Madison             1359917
Marengo             21027
Marion              1962056
Marshall            365726
Mobile              412992
Monroe              1549967
Montgomery          3519362
Morgan              368497
Perry               212599
Pickens             168401
Pike                301356
Randolph            304819
Russell             106379
St. Clair           526494
Shelby              1325013
Sumter              247458
Talladega           82291
Tallapoosa          41616
Tuscaloosa          194656
Walker              203640
Washington          2520911
Wilcox              20925
Winston             43682
Aleutians East      3141
Aleutians West      5561
Anchorage           291826
Bethel              17013
Bristol Bay         997
Denali              1826
Dillingham          4847
Fairbanks North Star97581
Haines              2508
Hoonah-Angoon       2150
Juneau              57939
Kenai Peninsula     55400
Ketchikan Gateway   13477
Kodiak Island       13592
Lake and Peninsula  1631
Matanuska-Susitna   88995
Nome                9492
North Slope         9430
Northwest Arctic    7523
Petersburg          36235
Prince of Wales-Hyder5559
Sitka               8881
Skagway             968
Southeast Fairbanks 7029
Valdez-Cordova      9636
Wade Hampton        7459
Wrangell            2369
Yakutat             662
Yukon-Koyukuk       5588
Apache              71518
Cochise             131346
Coconino            134421
Gila                53597
Graham              48678
Greenlee            8437
La Paz              20489
Maricopa            3817117
Mohave              200186
Navajo              107449
Pima                980263
Pinal               375770
Santa Cruz          309802
Yavapai             211033
Yuma                205794
Arkansas            19019
Ashley              21853
Baxter              41513
Benton              599750
Boone               485601
Bradley             110471
Carroll             527386
Chicot              11800
Clark               2748857
Cleveland           362522
Columbia            456789
Conway              21273
Craighead           96443
Crawford            349301
Crittenden          60217
Cross               17870
Desha               13008
Drew                18509
Faulkner            113237
Fulton              1110618
Garland             96024
Grant               352847
Hempstead           22609
Hot Spring          32923
Howard              444622
Independence        36647
Izard               13696
Johnson             1121732
Lafayette           335661
Lincoln             633028
Little River        13171
Logan               232160
Lonoke              68356
Miller              74335
Mississippi         60838
Nevada              107761
Newton              216811
Ouachita            179840
Phillips            36094
Poinsett            24583
Polk                1365371
Pope                77219
Prairie             9894
Pulaski             564530
St. Francis         28258
Saline              225207
Scott               500890
Searcy              8195
Sebastian           125744
Sevier              127749
Sharp               17264
Stone               62382
Union               1109054
Van Buren           106671
White               169369
Woodruff            7260
Yell                22185
Alameda             1510271
Alpine              1175
Amador              38091
Butte               233001
Calaveras           45578
Colusa              21419
Contra Costa        1049025
Del Norte           28610
El Dorado           181058
Fresno              930450
Glenn               28122
Humboldt            160966
Imperial            174528
Inyo                18546
Kern                839631
Kings               2657682
Lake                1876613
Lassen              34895
Los Angeles         9818605
Madera              150865
Marin               252409
Mariposa            18251
Mendocino           87841
Merced              255793
Modoc               9686
Mono                14202
Monterey            415057
Napa                136484
Orange              4826896
Placer              348432
Plumas              20007
Riverside           2189641
Sacramento          1418788
San Benito          55269
San Bernardino      2035210
San Diego           3095313
San Francisco       805235
San Joaquin         685306
San Luis Obispo     269637
San Mateo           718451
Santa Barbara       423895
Santa Clara         1781642
Shasta              177223
Sierra              15228
Siskiyou            44900
Solano              413344
Sonoma              483878
